א	אַלעף
ביד רמה	בעיאַד ראָמעה
ביד־רמה	בעיאַד־ראָמעה
בידים	בעיאָדאַיִם
ביודעים	בעיוידים
ביוקר	בעיויקער
ביוש	ביִעש
ביחידות	ביחידעת
ביטול	ביטל
ביטול אבֿרים	ביטל אייבֿאָרים,ביטל אייוורים
ביטול־אבֿרים	ביטל־אייבֿאָרים,ביטל־אייוורים
ביטול היש	ביטל האַיעש
ביטול־היש	ביטל־האַיעש
ביטול תּורה	ביטל תּוירעה
ביטול־תּורה	ביטל־תּוירעה
בײַשן	בײַשן
בײַשנות	בײַשאָנעת
בײַשנים	בײַשאָנים
ביכּורים	ביכּורים
ביכולת	ביכוילעת
בילבול	בילבל
בילבול דם	בילבל דאַם
בילבול־דם	בילבל־דאַם
בילבול המוחות	בילבל האַמויחעת
בילבול־המוחות	בילבל־האַמויחעת
בילבולים	בילבולים
ביל״ו	בילו
בילתּי	בילתּי
בילתּי מסופּק	בילתּי מעסופּעק
בילתּי־מסופּק	בילתּי־מעסופּעק
בימה	בימעה
בימי	בימיי
בימים ההם	באַיאָמים האָהיים
בימים־ההם	באַיאָמים־האָהיים
בימקום	בימקעם
בין	ביין
בין אָדם לחבֿרו	ביין אָדעם לעחאַבֿיירע
בין אָדם למקום	ביין אָדעם לאַמאָקעם
בין ימינו ושׂמאלו	ביין יעמינע אוסמוילע
בין ימינו לשׂמאלו	ביין יעמינע לישׂמוילע
בין הזמנים	ביין האַזמאַנים
בין־הזמנים	ביין־האַזמאַנים
בין המצרים	ביין האַמצאָרים
בין־המצרים	ביין־האַמצאָרים
בין השמשות	ביין האַשמאָשעת
בין־השמשות	ביין־האַשמאָשעת
בין כּסא לעשׂור	ביין כּעסע לעאָשׂער
בין־כּסא־לעשׂור	ביין־כּעסע־לעאָשׂער
בין מינחה למעריבֿ	ביין מינחע לעמײַרעבֿ
בין־מינחה־למעריבֿ	ביין־מינחע־לעמײַרעבֿ
בינה	בינעה
בינו לבינו	ביינע לעביינע
בינו־לבינו	ביינע־לעביינע
בינם	בינעם
בינמס	בינעמס
בינמען	בינעמען
ביעור חמץ	ביִער חאָמעץ
ביעור־חמץ	ביִער־חאָמעץ
ביצה	בייצעה
ביצים	בייצים
ביקור חולים	ביקער חוילים
ביקור־חולים	ביקער־חוילים
בירושה	בעיערושעה
ביתּ״ר	בעתּאַר
ביתּר	בעתּאַר,בעטער
בית	בייז,ביית
בית־	ביית
בית־דין	בעזדן,בעזן
בית דין צדק	בעזדן צעדעק,בעזן צעדעק
בית־דין־צדק	בעזדן־צעדעק,בעזן־צעדעק
בית דין שטוב	בעזדן שטוב,בעזן שטוב
בית־דין־שטוב	בעזדן־שטוב,בעזן־שטוב
בית דין של מעלה	בעזדן שעל מײַלע,בעזן שעל מײַלעה
בית־דין־של־מעלה	בעזדן־שעל־מײַלע,בעזן־שעל־מײַלעה
בית דין שמשׂ	בעזדן שאַמעס,בעזן שאַמעס
בית־דין־שמשׂ	בעזדן־שאַמעס,בעזן־שאַמעס
בית דין שמשׂים	בעזדן שאַמאָשׂים,בעזן שאַמאָסים
בית־דין־שמשׂים	בעזדן־שאַמאָשׂים,בעזן־שאַמאָסים
בית החיים	ביית האַחאַיִם
בית־החיים	ביית־האַחאַיִם
בית הכּבֿוד	ביית האַכּאָוועד
בית־הכּבֿוד	ביית־האַכּאָוועד
בית הכּיסא	ביית האַכּיסע
בית־הכּיסא	ביית־האַכּיסע
בית הכּנסת	ביית האַכּנעסעת
בית־הכּנסת	ביית־האַכּנעסעת
בית המדרש	ביית האַמעדרעש
בית־המדרש	ביית־האַמעדרעש
בית המיקדש	ביית האַמיגדעש
בית־המיקדש	ביית־האַמיגדעש
בית הקבֿרות	ביית האַקבֿאָרעת
בית־הקבֿרות	ביית־האַקבֿאָרעת
בית וועד	ביית וואַאַד
בית־וועד	ביית־וואַאַד
בית וועד ל…	ביית וואַאַד לאַ…
בית־וועד־ל…	ביית־וואַאַד־לאַ…
בית וועד לחכמים	ביית וואַאַד לאַכאַכאָמים
בית־וועד־לחכמים	ביית־וואַאַד־לאַכאַכאָמים
בית יעקבֿ	ביית יאַנקעבֿ
בית־יעקבֿ	ביית־יאַנקעבֿ
בית יעקבֿ לכו ונלכה	ביית יאַנקעבֿ לעכו וועניילכאָה
בית־יעקבֿ לכו ונלכה	ביית־יאַנקעבֿ לעכו וועניילכאָה
בית יתומים	ביית יעתוימים
בית־יתומים	ביית־יעתוימים
בית לחם	ביית לעחעם
בית־לחם	ביית־לעחעם
בית־מדרש	בעתמעדרעש
בית־מדרשל	בעתמעדרעשל
בית־עולם	בעסוילעם
בית־עלמין	בעסאַלמען
בית ראשון	באַיִת רישן
בית־ראשון	באַיִת־רישן
בית שני	באַיִת שייני
בית־שני	באַיִת־שייני
בכּאַן	בעכּאַן
בכּבֿוד	בעכּאָוועד
בכּבֿוד גדול	בעכּאָוועד גאָדל
בכּבֿוד־גדול	בעכּאָוועד־גאָדל
בכּבֿודיק	בעכּאָוועדיק
בכּבֿודיקן	בעכּאָוועדיקן
בכּבֿודיקס	בעכּאָוועדיקס
בכּבֿודיקע	בעכּאָוועדיקע
בכּבֿודיקער	בעכּאָוועדיקער
בכּבֿודיקערן	בעכּאָוועדיקערן
בכּבֿודיקערס	בעכּאָוועדיקערס
בכּבֿודיקערע	בעכּאָוועדיקערע
בכּבֿודיקערער	בעכּאָוועדיקערער
בכּובֿד ראָש	בעכּויבֿעד ראָש
בכּובֿד־ראָש	בעכּויבֿעד־ראָש
בכּוונה	בעכּאַוואָנעה
בכּוח	בעכּויעח
בכּיוון	בעכּיוון
בכּיסו בכּוסו בכּעסו	בעכּיסע בעכּויסע בעקײַסע
בכּל מכּל כּל	באַכּל מיכּל כּאָל
בכּל־מכּל־כּל	באַכּל־מיכּל־כּאָל
בכּלל	ביכּלאַל
בכּתבֿ	ביכּתאַבֿ
בכבֿודה ובֿעצמה	ביכוווידע אוּוועאַצמעה
בכבֿודה־ובֿעצמה	ביכוווידע־אוּוועאַצמעה
בכבֿודו ובֿעצמו	ביכוווידע אוּוועאַצמע
בכבֿודו־ובֿעצמו	ביכוווידע־אוּוועאַצמע
בכדי	ביכדיי
בכור	בכאָר,פּכאָר
בכורה	בכוירע,פּכוירעה
בכורות	בכוירעס,פּכוירעת
בכורטע	בכאָרטע,פּכאָרטע
בכורטעס	פּכאָרטעס
בכורים	בכוירים,פּכוירים
בכי טובֿ	בעכי טויבֿ
בכי־טובֿ	בעכי־טויבֿ
בכיה	בכיִע,פּכיִעה
בכיה לדורות	בכיִע לעדוירעס,פּכיִע לעדוירעת
בכיה־לדורות	בכיִע־לעדוירעס,פּכיִע־לעדוירעת
בכל אופֿן	בעכאָל אויפֿן
בכל־אופֿן	בעכאָל־אויפֿן
בכל תּפֿוצות ישׂראל	בעכאָל תּפֿוצעת ייִשׂראָעל
בכל־תּפֿוצות־ישׂראל	בעכאָל־תּפֿוצעת־ייִשׂראָעל
בכלל	ביכלאַל
בכן	בעכיין,בעכען
בל תּשחית	באַל תּאַשחית
בל־תּשחית	באַל־תּאַשחית
בלא	בעלוי
בלא גוזמא	בעלוי גוזמע
בלא־גוזמא	בעלוי־גוזמע
בלא יודעים	בעלוי יוידים
בלא־יודעים	בעלוי־יוידים
בלבֿ ונפֿש	בעלעבֿ וואָנעפֿעש
בלבֿ־ונפֿש	בעלעבֿ־וואָנעפֿעש
בלהה	בילהעה
בלחש	בעלאַחעש
בלי־	בלי,בעלי
בלי גוזמא	בלי גוזמע,בעלי גוזמע
בלי־גוזמא	בלי־גוזמע,בעלי־גוזמע
בלי חרטה	בלי חאַראָטע,בעלי כאַראָטעה
בלי־חרטה	בלי־חאַראָטע,בעלי־כאַראָטעה
בלי יפֿונה	בלי יעפֿונע,בעלי יעפֿונעה
בלי־יפֿונה	בלי־יעפֿונע,בעלי־יעפֿונעה
בלי כּוונה	בלי כּאַוואָנע,בעלי קאַוואָנעה
בלי־כּוונה	בלי־כּאַוואָנע,בעלי־קאַוואָנעה
בלי מסקנא	בלי מאַסקאָנע,בעלי מאַסקאָנע
בלי־מסקנא	בלי־מאַסקאָנע,בעלי־מאַסקאָנע
בלי נדר	בלי ניידער,בעלי ניידער
בלי־נדר	בלי־ניידער,בעלי־ניידער
בלי ספֿק	בלי סאָפֿעק,בעלי סאָפֿעק
בלי־ספֿק	בלי־סאָפֿעק,בעלי־סאָפֿעק
בלי שום טענה	בלי שום טײַנע,בעלי שום טײַנעה
בלי־שום־טענה	בלי־שום־טײַנע,בעלי־שום־טײַנעה
בלי שום ספֿק	בלי שום סאָפֿעק,בעלי שום סאָפֿעק
בלי־שום־ספֿק	בלי־שום־סאָפֿעק,בעלי־שום־סאָפֿעק
בלי תּנאַי	בלי תּנײַ,בעלי טנײַ
בלי־תּנאַי	בלי־תּנײַ,בעלי־טנײַ
בלית ברירה	בלעת בריירע,בעלעס בריירעה
בלית־ברירה	בלעת־בריירע,בעלעס־בריירעה
בלע״ז	בלאַז,בעלאַז
בלעם	בילעם
בלק	באָלעק
בלשון אַתּה	בעלאָשן אַתּאָה
בלשון־אַתּה	בעלאָשן־אַתּאָה
בלשון חיבה	בעלאָשן חיבעה
בלשון־חיבה	בעלאָשן־חיבעה
בלשון יחיד	בעלאָשן יאָחעד
בלשון־יחיד	בעלאָשן־יאָחעד
בלשון סגי נהור	בעלאָשן סעגינאָער
בלשון־סגי־נהור	בעלאָשן־סעגינאָער
בלשון רבים	בעלאָשן ראַבים
בלשון־רבים	בעלאָשן־ראַבים
במדבר	באַמידבער
במה דבֿרים אַמורים	באַמע דבֿאָרים אַמורים
במהרה	בימהיירעה
במהרה בימינו	בימהיירע בעיעמיינו
במהרה־בימינו	בימהיירע־בעיעמיינו
במזומן	בימזומען
במזומנים	בימזומאָנים
במזיד	בעמייזיד
במחילה	בימחילעה
במחילה גמורה	בימחילע גמורעה
במחילה־גמורה	בימחילע־גמורעה
במילא	בעמיילע
במינהג	בעמינעג
במיצוותיו	בעמיצווויסאָוו
במנוחה	בימנוחעה
במסורה	בימסוירעה
במציאות	בימציִעת
במקום שאין איש	בעמאָקעם שעיין איש
במקח	בעמעקעח
במקח השווה	בעמעקעח האַשאָוועה
במקח־השווה	בעמעקעח־האַשאָוועה
במשך	בעמעשעך
במתּנה	בעמאַתּאָנעה
בן	בען
בן־אָדם	בענאָדעם
בן־אַרבעים	בענאַרבאָיִם
בן־בית	בענבאַיִת
בן־ברית	בענברית
בן־גיל	בענגיל
בן־דור	בענדאָר
בן־דעת	בענדאַאַת
בן הנידה	בען האַנידעה
בן־הנידה	בען־האַנידעה
בן־הרבֿ	בענהאָראַבֿ
בן־זוג	בענזוג
בן־זכר	בענזאָכער
בן־זקונים	בענזקונים,בענסקונים
בן־טובֿים	בענטויבֿים
בן־יחיד	בעניאָחעד
בן־יקיר	בעניאַקער
בן ישׂראל	בען ייִשׂראָעל
בן־ישׂראל	בען־ייִשׂראָעל
בן־לילה	בינלײַלעה
בן מימון	בען מײַמאָן
בן־מימון	בען־מײַמאָן
בן־מלך	בענמיילעך
בן נבֿט	בען נעבֿאָט
בן־נבֿט	בען־נעבֿאָט
בן נח	בען נויעח
בן־נח	בען־נויעח
בן סורר ומורה	בען סוירער אומוירעה
בן־סורר־ומורה	בען־סוירער־אומוירעה
בן סירא	בען סירע
בן־סירא	בען־סירע
בן־עיר	בנעיִר,בעניר
בן־פּקועה	בענבעקוע,בענפּעקועה
בן־ציון	בענציִען
בן קימא	בען קאַיאָמע
בן־קימא	בען־קאַיאָמע
בן־שיבֿעים	בענשיבֿים
בן־שישים	בענשישים
בן־שמונים	בענשמוינים
בן־תּורה	בענתּוירעה
בן־תּישעים	בענתּישים
בנאמנות	בענעמאָנעת
בנאָק	בענאָק
בנוגע	בענעגייע
בנוהג שבעולם	בענויעג שעבאָוילעם
בנוהג־שבעולם	בענויעג־שעבאָוילעם
בנות גיל	בנוית גיל
בנות־גיל	בנוית־גיל
בנות זקונים	בנוית זקונים,בנויס סקונים
בנות־זקונים	בנוית־זקונים,בנויס־סקונים
בנות יעקבֿ	בנוית יאַנקעבֿ
בנות־יעקבֿ	בנוית־יאַנקעבֿ
בנות ישׂראל	בנוית ייִשׂראָעל
בנות־ישׂראל	בנוית־ייִשׂראָעל
בנות ציון	בנוית ציִען
בנות־ציון	בנוית־ציִען
בני־אָדם	בנייאָדעם,בנעיאָדעם
בני־אַרבעים	בנייאַרבאָיִם
בני־בית	בנייבאַיִת
בני־ברית	בנייברית
בני־גיל	בנייגיל
בני־דור	בניידאָר
בני־דעת	בניידאַאַת
בני־הרבֿ	בנייהאָראַבֿ
בני־זוג	בנייזוג
בני־זקונים	בנייזקונים,בנייסקונים
בני־טובֿים	בנייטויבֿים
בני יחידים	בניי יעחידים
בני־יחידים	בניי־יעחידים
בני ישׂראל	בניי ייִשׂראָעל
בני־ישׂראל	בניי־ייִשׂראָעל
בני מלכים	בניי מעלאָכים
בני־מלכים	בניי־מעלאָכים
בני משה	בניי מוישעה
בני־משה	בניי־מוישעה
בני נבֿיאים	בניי נעבֿיִיִם
בני־נבֿיאים	בניי־נעבֿיִיִם
בני נח	בניי נויעח
בני־נח	בניי־נויעח
בני עניים	בניי אַניִיִם
בני־עניים	בניי־אַניִיִם
בני קימא	בניי קאַיאָמע
בני־קימא	בניי־קאַיאָמע
בני רחמנים	בניי ראַחמאָנים
בני־רחמנים	בניי־ראַחמאָנים
בני־שיבֿעים	בניישיבֿים
בני־שישים	בניישישים
בני־שמונים	בניישמוינים
בני־תּורה	בנייתּוירעה
בני־תּישעים	בנייתּישים
בניחותא	בעניחעתע
בנים	באָנים
בנים זכרים	באָנים זכאָרים,באָנים סכאָרים
בנים־זכרים	באָנים־זכאָרים,באָנים־סכאָרים
בנימוס	בענימעס
בנימין	בעניאָמען
בנימינס	בעניאָמענס
בנימינען	בעניאָמענען
בנימצא	בענימצע
בנין	ביניען
בנינים	ביניאָנים
בנעימות	בענימעת
בנעימותדיק	בענימעתדיק
בנעימותדיקן	בענימעתדיקן
בנעימותדיקע	בענימעתדיקע
בנעימותדיקער	בענימעתדיקער
בנערינו ובֿזקנינו	בינאָריינו אוּוויזקייניינו
בנערינו־ובֿזקנינו	בינאָריינו־אוּוויזקייניינו
בנקיטת חפֿץ	בינקיטעת חייפֿעץ
בנקיטת־חפֿץ	בינקיטעת־חייפֿעץ
בנשימה אַחת	בינשימע אַחעת
בנשימה־אַחת	בינשימע־אַחעת
בנשיקה	בינשיקעה
בסבֿר פּנים יפֿות	בעסייבֿער פּאָנעם יאָפֿעת
בסבֿר־פּנים־יפֿות	בעסייבֿער־פּאָנעם־יאָפֿעת
בסוד	בעסאָד
בסוד סודות	בעסאָד סוידעת
בסוד־סודות	בעסאָד־סוידעת
בסיעתּא דשמיא	בעסיִאַטע דעשמײַע
בסיעתּא־דשמיא	בעסיִאַטע־דעשמײַע
בסך־הכּל	בעסעכאַקל
בסתר	בעסייתער
בעוונותינו הרבים	באַוווינעתיינו האָראַבים
בעוונותינו־הרבים	באַוווינעתיינו־האָראַבים
בעזבושהניצע	בעזבושעניצע
בעזבושהניק	בעזבושעניק
בעזרת השם	בעזרעת האַשעם
בעזרת־השם	בעזרעת־האַשעם
בעזרת השם יתברך	בעזרעת האַשעם ייִתבאָרעך
בעזרת־השם־יתברך	בעזרעת־האַשעם־ייִתבאָרעך
בעיני ראָיתי	בעיינײַ ראָיִתי
בעיקר	בעיִקער
בעירום ובֿחוסר כּל	בעיירעם אוּווכויסער כּאָל
בעירום־ובֿחוסר־כּל	בעיירעם־אוּווכויסער־כּאָל
בעל	באַאַל
בעל־	באַל
בעל־אַחריות	באַלאַחרײַעת
בעל־אַכסניא	באַלאַכסאַניע
בעל־בטוח	באַלבעטועח
בעל־בטחון	באַלביטאָחן
בעל־בכי	באַלבעכי
בעל־ברית	באַלברית
בעל־בשׂר	באַלבאָסער
בעל־גאווה	באַלגײַוועה
בעל־גאווהטע	באַלגײַוועטע
בעל־גאווהניצע	באַלגײַוועניצע
בעל־גאווהניק	באַלגײַוועניק
בעל־גוזמא	באַלגוזמע
בעל־גוף	באַלגוף
בעל־דברן	באַלדאַברען
בעל דברנים	באַל דאַבראָנים
בעל־דברנים	באַל־דאַבראָנים
בעל־דבֿר	באַלדאָווער
בעל־דין	באַלדין
בעל־דיקדוק	באַלדיקדעק
בעל־דמיון	באַלדימיען
בעל דמיונות	באַל דימיוינעת
בעל־דמיונות	באַל־דימיוינעת
בעל־דעה	באַלדייעה
בעל דרך ארץ	באַל דערעכערעץ
בעל־דרך־ארץ	באַל־דערעכערעץ
בעל־דרשן	באַלדאַרשן
בעל דרשנים	באַל דאַרשאָנים
בעל־דרשנים	באַל־דאַרשאָנים
בעל־דרשער	באַלדאַרשער
בעל־הבית	באַלעבאָת
בעל־הביתטע	באַלעבאָתטע
בעל־הביתטעס	באַלעבאָתטעס
בעל־הביתל	באַלעבעסל
בעל־הבתּיש	באַלעבאַתּיש
בעל־הבתּישן	באַלעבאַתּישן
בעל־הבתּישע	באַלעבאַתּישע
בעל־הבתּישער	באַלעבאַתּישער
בעל־הבתּישקייט	באַלעבאַתּישקייט
בעל־הבתּעווען	באַלעבאַתּעווען
בעל־הגוף	באַלעגוף
בעל־הוצאה	באַלהויצאָעה
בעל־הטורים	באַלהאַטורים
בעל־הכנסה	באַלהאַכנאָסעה
בעל הכנסת אורחים	באַל האַכנאָסעת אָרחים
בעל־הכנסת־אורחים	באַל־האַכנאָסעת־אָרחים
בעל־הלוואה	באַלהאַלוואָעה
בעל־המצאה	באַלהאַמצאָעה
בעל הנס	באַל האַנעס
בעל־הנס	באַל־האַנעס
בעל־העזה	באַלהאָזעה
בעל־השפּעה	באַלהאַשפּאָעה
בעל־זכּרון	באַלזיכּאָרן
בעל־חובֿ	באַלחויבֿ
בעל־חי	באַלחײַ
בעל־חייבֿ	באַלכײַעבֿ
בעל־חלומות	באַלחאַלוימעת
בעל־חסד	באַלכעסעד
בעל־חשבון	באַלכעזשבם
בעל־חתונה	באַלכאַסענעה
בעל־טאַקסע	באַלטאַקסע
בעל־טובֿה	באַלטויבֿעה
בעל־טובֿהניצע	באַלטויבֿעניצע
בעל־טענה	באַלטײַנעה
בעל־יובֿל	באַליויבֿל
בעל־יובֿלטע	באַליויבֿלטע
בעל־יועץ	באַליויעץ
בעל־יועצטע	באַליויעצטע
בעל־ייִאוש	באַלייִעש
בעל־ייִחוס	באַלייִחעס
בעל־ייִחוסטע	באַלייִחעסטע
בעל־יכולת	באַליעכוילעת
בעל־יסורים	באַליעסורים
בעל־כּוח	באַלקויעח
בעל־כּיס	באַלכּיס
בעל־כּישרון	באַלכּישרען
בעל־כּעסן	באַלכּײַסן
בעל־כּעסנטע	באַלכּײַסנטע
בעל־כּרחה	באַלקאָרכעה
בעל־כּרחו	באַלקאָרכע
בעל־כּרחך	באַלקאָרכאָך,באַלקאָרכעכאָ
בעל־כּרחך אַתּה חי	באַלקאָרכעכאָ אַתּאָ חײַ
בעל לשון	באַל לאָשן
בעל־לשון	באַל־לאָשן
בעל לשון קודש	באַל לאָשנקוידעש
בעל־לשון־קודש	באַל־לאָשנקוידעש
בעל־מגזם	באַלמעגאַזעם
בעל־מגזמטע	באַלמעגאַזעמטע
בעל־מגיה	באַלמאַגיִעה
בעל־מדקדק	באַלמעדאַקדעק
בעל־מוח	באַלמויעח
בעל־מום	באַלמום
בעל־מוסף	באַלמוסעף
בעל־מוסר	באַלמוסער
בעל־מופֿת	באַלמויפֿעת
בעל־מוצלח	באַלמוצלעח
בעל־מזג־טובֿ	באַלמעזעקטאָוו
בעל־מזל	באַלמאַזל
בעל־מחבר	באַלמעכאַבער
בעל־מחיה	באַלמיכיעה
בעל־מחלוקת	באַלמאַחלויקעת
בעל־מחשבֿות	באַלמאַכשאָוועת
בעל־מטופּל	באַלמעטופּל
בעל מטופּלים	באַל מעטופּאָלים
בעל־מטופּלים	באַל־מעטופּאָלים
בעל־מידה	באַלמידעה
בעל־מידות	באַלמידעת
בעל־מיחוש	באַלמייחעש
בעל־מיצווה	באַלמיצוועה
בעל־מישפּט	באַלמישפּעט
בעל־מכשף	באַלמעכאַשעף
בעל־מלאָכה	באַלמעלאָכעה
בעל־מלאָכהס	באַלמעלאָכעס
בעל־מלאָכות	באַלמעלאָכעת
בעל־מלחמה	באַלמילכאָמעה
בעל־מליצה	באַלמעליצעה
בעל־מנגן	באַלמענאַגן
בעל־מפֿוניצע	באַלמעפֿוניצע
בעל־מפֿונק	באַלמעפֿונעק
בעל־מפֿטיר	באַלמאַפֿטער
בעל־מפֿרנס	באַלמעפֿאַרנעס
בעל־מציאות	באַלמעציִעת
בעל־מצליח	באַלמאַצליִעח
בעל־מקובל	באַלמעקובל
בעל־מקנא	באַלמעקאַנע
בעל מרה שחורה	באַל מאָרעשחוירעה
בעל־מרה־שחורה	באַל־מאָרעשחוירעה
בעל־משחית	באַלמאַשחית
בעל־משפּחה	באַלמישפּאָחעה
בעל נס	באַלנעס,באַל נעס
בעל־נס	באַלנעס,באַל־נעס
בעל־נסיון	באַלניסויען
בעל־נעילה	באַלנילעה
בעל־נצחון	באַלניצאָחן
בעל־סוד	באַלסאָד
בעל־עבֿירה	באַלאַבֿיירעה
בעל־עבֿירהניצע	באַלאַבֿיירעניצע
בעל־עבֿירהניק	באַלאַבֿיירעניק
בעל־עבֿרי	באַליוורע
בעל־עגלה	באַלעגאָלעה
בעל־עוולה	באַלאַוולעה
בעל־עסק	באַלייסעק
בעל־עסקן	באַלאַסקן
בעל־עצה	באַלייצעה
בעל־פּה	באַלפּע,בעאַלפּעה
בעל־פּועל	באַלפּויעל
בעל־פּחדן	באַלפּאַחדן
בעל־פּליטה	באַלפּלייטעה
בעל־פּקדון	באַלפּיקאָדן
בעל־פּרנסה	באַלפּאַרנאָסעה
בעל־פּשרן	באַלפּאַשרען
בעל־צדקה	באַלצדאָקעה
בעל־צדקהטע	באַלצדאָקעטע
בעל צדקות	באַל צדאָקעת
בעל־צדקות	באַל־צדאָקעת
בעל־צורה	באַלצורעה
בעל צורות	באַל צורעת
בעל־צורות	באַל־צורעת
בעל־קבלה	באַלקאַבאָלעה
בעל־קורא	באַלקוירע
בעל־קרי	באַלקיירע,באַלקערי
בעל־קריאה	באַלקריִעה
בעל־רחמים	באַלראַחמים
בעל־רחמן	באַלראַכמען
בעל־רחמנות	באַלראַכמאָנעת
בעל־שחרית	באַלשאַכרעת
בעל־שם	באַלשעם
בעל־שם־טובֿ	באַלשעמטאָוו
בעל־שפֿע	באַלשעפֿע
בעל־שׂימחה	באַלשׂימחעה
בעל־שׂימחהטע	באַלשׂימחעטע
בעל־שׂימחהניצע	באַלשׂימחעניצע
בעל־שׂכל	באַלשׂייכל
בעל־שׂכלטע	באַלשׂייכלטע
בעל־תּאווה	באַלתּײַוועה
בעל־תּאווהניצע	באַלתּײַוועניצע
בעל־תּאווהניק	באַלתּײַוועניק
בעל־תּבֿיעה	באַלטוויִעה
בעל־תּוקע	באַלטעקייע
בעל־תּחבולה	באַלתּאַחבולעה
בעל־תּכלית	באַלתּאַכלעת
בעל־תּכליתניצע	באַלתּאַכלעתניצע
בעל־תּנך	באַלטענאַך
בעל־תּפֿילה	באַלתּפֿילעה
בעל תּפֿילות	באַל תּפֿילעת
בעל־תּפֿילות	באַל־תּפֿילעת
בעל־תּקיעה	באַלתּקיִעה
בעל תּקיעות	באַל תּקיִעת
בעל־תּקיעות	באַל־תּקיִעת
בעל־תּקיף	באַלטאַקעף
בעל תּקיפֿים	באַל תּאַקיפֿים,באַל טקיפֿים
בעל־תּקיפֿים	באַל־תּאַקיפֿים,באַל־טקיפֿים
בעל תּשובֿה	באַלטשוּווע ,באַל תּשוּוועה
בעל־תּשובֿה	באַלטשוּווע ,באַל־תּשוּוועה
בעל־תּשובֿהטע	באַלטשוּוועטע
בעל־תּשובֿהניצע	באַלטשוּוועניצע
בעל־תּשובֿהניק	באַלטשוּוועניק
בעל תּשובֿות	באַל תּשוּוועת
בעל־תּשובֿות	באַל־תּשוּוועת
בעלה	באַאַלעה
בעלי	באַאַלי
בעלי־	באַלע
בעלי אַחריות	באַלע אַחרײַעת
בעלי־אַחריות	באַלע־אַחרײַעת
בעלי אַכסניות	באַלע אַכסאַניעת
בעלי־אַכסניות	באַלע־אַכסאַניעת
בעלי בטוחים	באַלע בעטוחים
בעלי־בטוחים	באַלע־בעטוחים
בעלי בטחון	באַלע ביטאָחן
בעלי־בטחון	באַלע־ביטאָחן
בעלי בכי	באַלע בעכי
בעלי־בכי	באַלע־בעכי
בעלי בריתן	באַלע בריתן
בעלי־בריתן	באַלע־בריתן
בעלי בשׂרס	באַלע באָשׂערס
בעלי־בשׂרס	באַלע־באָשׂערס
בעלי־בתּים	באַלעבאַתּים
בעלי גאוות	באַלע גײַוועת
בעלי־גאוות	באַלע־גײַוועת
בעלי גוזמא	באַלע גוזמע
בעלי־גוזמא	באַלע־גוזמע
בעלי גוזמאָות	באַלע גוזמאָעת
בעלי־גוזמאָות	באַלע־גוזמאָעת
בעלי גוזמות	באַלע גוזמעת
בעלי־גוזמות	באַלע־גוזמעת
בעלי גופֿים	באַלע גופֿים
בעלי־גופֿים	באַלע־גופֿים
בעלי דברנים	באַלע דאַבראָנים
בעלי־דברנים	באַלע־דאַבראָנים
בעלי דבֿר	באַלע דאָבֿער
בעלי־דבֿר	באַלע־דאָבֿער
בעלי דינים	באַלע דינים
בעלי־דינים	באַלע־דינים
בעלי דיקדוק	באַלע דיקדעק
בעלי־דיקדוק	באַלע־דיקדעק
בעלי דמיונות	באַלע דימיוינעת
בעלי־דמיונות	באַלע־דימיוינעת
בעלי דעות	באַלע דייעת
בעלי־דעות	באַלע־דייעת
בעלי דרך ארץ	באַלע דערעכערעץ
בעלי־דרך־ארץ	באַלע־דערעכערעץ
בעלי דרשנים	באַלע דאַרשאָנים
בעלי־דרשנים	באַלע־דאַרשאָנים
בעלי הוצאָות	באַלע הויצאָעת
בעלי־הוצאָות	באַלע־הויצאָעת
בעלי הכנסה	באַלע האַכנאָסעה
בעלי־הכנסה	באַלע־האַכנאָסעה
בעלי הכנסת אורחים	באַלע האַכנאָסעת אָרחים
בעלי־הכנסת־אורחים	באַלע־האַכנאָסעת־אָרחים
בעלי הלוואָות	באַלע האַלוואָעת
בעלי־הלוואָות	באַלע־האַלוואָעת
בעלי המצאָות	באַלע האַמצאָעת
בעלי־המצאָות	באַלע־האַמצאָעת
בעלי השפּעה	באַלע האַשפּאָעה
בעלי־השפּעה	באַלע־האַשפּאָעה
בעלי זכּרון	באַלע זיכּאָרן
בעלי־זכּרון	באַלע־זיכּאָרן
בעלי חובֿות	באַלע כויוועת
בעלי־חובֿות	באַלע־כויוועת
בעלי חייבֿים	באַלע כאַיאָבֿים
בעלי־חייבֿים	באַלע־כאַיאָבֿים
בעלי חיים	באַלע כאַיִם
בעלי־חיים	באַלע־כאַיִם
בעלי חלומות	באַלע חאַלוימעת
בעלי־חלומות	באַלע־חאַלוימעת
בעלי חסדים	באַלע חסאָדים
בעלי־חסדים	באַלע־חסאָדים
בעלי חשבונות	באַלע חעזשבוינעת
בעלי־חשבונות	באַלע־חעזשבוינעת
בעלי חתונה	באַלע חאַתענעה
בעלי־חתונה	באַלע־חאַתענעה
בעלי טאַקסעס	באַלע טאַקסעס
בעלי־טאַקסעס	באַלע־טאַקסעס
בעלי טובֿות	באַלע טויוועת
בעלי־טובֿות	באַלע־טויוועת
בעלי טענות	באַלע טײַנעת
בעלי־טענות	באַלע־טײַנעת
בעלי יובֿלס	באַלע יויבֿלס
בעלי־יובֿלס	באַלע־יויבֿלס
בעלי יועצם	באַלע יויעצים
בעלי־יועצם	באַלע־יויעצים
