source	target	freq
101	101	3
لبلاغة	li-balāghat	3
1000	1000	3
لبغية	li-bughyat	3
الجصاص	al-Jaṣṣāṣ	3
ودرس	wa-dars	3
لبريس	Labrīs	3
لبرهان	li-Burhān	3
الجعبيري	al-Jaʻbīrī	3
الجعفر	al-Jaʻfar	3
ودرسها	wa-darasahā	3
ودعاوي	wa-daʻāwī	3
لاخبار	li-akhbār	3
وردانى	Wardānī	3
ورتاني	Wartānī	3
لإتفاقيات	li-ittifāqīyāt	3
1956-1970	1956-1970	3
ورثة	Warathat	3
الجمود	al-jumūd	3
لأمير	li-Amīr	3
لأموال	li-amwāl	3
لأكاديمية	li-Akādīmīyat	3
أوغندا	Ūghandā	3
أونيسكو	Ūnīskū	3
أوغست	Ūghust	3
أوغانم	Awghānim	3
لأصحابها	li-aṣḥābihā	3
لأشراط	li-ashrāṭ	3
أوضاعها	awḍāʻihā	3
ورغائب	wa-raghāʼib	3
الجنبيهي	al-Janbīhī	3
أوسع	awsaʻ	3
لإحتياجات	li-iḥtiyājāt	3
لإحدى	li-iḥdá	3
لابرز	li-abraz	3
وذخائر	wa-dhakhāʼir	3
لائمة	li-Aʼimmat	3
لاأستاذ	al-Ustādh	3
لإنقاذ	li-Inqādh	3
وذم	wa-dhamm	3
لإنتاج	li-intāj	3
ورؤساء	wa-ruʼasāʼ	3
الجمرة	al-Jamrah	3
الجمركي	al-jumrukī	3
لإشكالية	li-ishkālīyat	3
لإستخدام	li-istikhdām	3
لإدراك	li-idrāk	3
أولمبيا	Ūlimbiyā	3
وراكلي	Warāgilī	3
ورام	Warrām	3
أهامي	Ahāmī	3
وتاريخا	wa-tārīkhan	3
كحلوت	Kaḥlūt	3
وضوء	wa-ḍawʼ	3
كحاله	Kaḥḥālah	3
كثيرا	kathīran	3
كتيبة	Katībat	3
كتيبات	kutayyibāt	3
كتورة	Kattūrah	3
وطبان	Waṭbān	3
كتف	katif	3
أناب	anāba	3
وطرائق	wa-ṭarāʼiq	3
وطرف	wa-ṭuraf	3
وطريقة	wa-ṭarīqat	3
الحديثه	al-Ḥadīthah	3
وطلاب	wa-ṭullāb	3
كتابخانة	Kitābkhānah	3
وطواط	Vaṭvāṭ	3
وضغوط	wa-ḍughūṭ	3
1963-1967	1963-1967	3
الحجب	al-ḥujub	3
وصي	Waṣī	3
أنجاي	Anjāy	3
كراوس	Kraus	3
الحجلاوي	al-Ḥajlāwī	3
وصيغه	wa-ṣiyaghihi	3
وصيف	Waṣīf	3
وضحى	Waḍḥá	3
أنتون	Antūn	3
أنتم	antum	3
وضريبة	wa-ḍarībat	3
كراز	Karāz	3
كدي	Kaddī	3
كدوك	Kadūk	3
الحداثية	al-ḥadāthīyah	3
وضعنا	waḍaʻnā	3
كخيار	ka-khayār	3
وظيفية	waẓīfīyah	3
كرخي	Karkhī	3
الحريرية	al-Ḥarīrīyah	3
1967-1968	1967-1968	3
أملاك	Amlāk	3
أمكنة	Amkinah	3
وعرف	wa-ʻarrafa	3
الحركية	al-ḥarakīyah	3
وعزا	wa-ʻazā	3
كاسوحة	Kāsūḥah	3
وعزيز	Waʻzīz	3
كاري	Kārī	3
وعشائر	wa-ʻashāʼir	3
وعشائرها	wa-ʻashāʼiruhā	3
وعشق	wa-ʻishq	3
أموت	amūt	3
الحريف	al-ḥarīf	3
وعصرية	wa-ʻaṣrīyah	3
أمرير	Amrīr	3
كاربونيل	Kārbūnīl	3
الحزم	al-Ḥazm	3
الحزماوي	al-Ḥazmāwī	3
الحزمي	al-Ḥāzimī	3
كادقلي	Kāduqlī	3
كاثولوس	Catullus	3
كاكي	Kākī	3
كالوس	Kālūs	3
أملاها	amlāhā	3
وعادل	wa-ʻĀdil	3
كبش	Kabsh	3
أمهز	Amhaz	3
الحرافيش	al-ḥarāfīsh	3
كبر	Kibr	3
أمه	ummihi	3
الحرالي	al-Ḥarālī	3
كبائر	Kabāʼir	3
الحرباوي	al-Ḥarbāwī	3
وعبارات	wa-ʻibārāt	3
أمنيات	Umnīyāt	3
كاوه	Kāwah	3
كاوة	Kāwah	3
كاهية	Kāhiyah	3
كاهنا	kāhinan	3
الحرج	al-ḥaraj	3
الحرجة	al-ḥarijah	3
كانار	Kānār	3
وعجز	wa-ʻajz	3
الحرش	al-Ḥarash	3
وعدم	wa-ʻadam	3
وعدنان	wa-ʻAdnān	3
وصوت	wa-ṣawt	3
وصنفها	wa-ṣannafahā	3
وشؤون	wa-shuʼūn	3
وشرقا	wa-sharqan	3
وشركة	wa-sharikat	3
وشروح	wa-shurūḥ	3
أنكره	ankarahu	3
أنكر	ankara	3
كفعمي	Kafʻamī	3
أنكحة	ankiḥat	3
الحاكمي	al-Ḥākimī	3
الحاسوبية	al-ḥāsūbīyah	3
الحاسي	al-Ḥāsī	3
وشعرية	wa-shiʻrīyat	3
كفاءة	kafāʼat	3
كلاعي	Kalāʻī	3
كلالدة	Kalālidah	3
وشاء	Washshāʼ	3
كمية	kammīyah	3
كمشخانوي	Kumushkhānawī	3
كمالو	Kamālū	3
كمارا	Kamārā	3
الجيولوجي	al-jiyūlūjī	3
الحأري	al-Ḥaʼirī	3
أني	annī	3
كلنا	kullunā	3
كلمون	Kalmūn	3
كلما	Kullamā	3
الحاجري	al-Ḥājirī	3
كشفي	Kashfī	3
الحاكمية	al-Ḥākimīyah	3
الحجازيات	al-Ḥijāzīyāt	3
كرمة	Karmah	3
كريتيكا	Krītīkā	3
الحبسي	al-Ḥabsī	3
الحبسية	al-ḥabsīyah	3
كريت	Karīt	3
وصدمة	wa-ṣadmat	3
أنسى	ansá	3
الحبل	al-Ḥabl	3
كروزي	Krūzī	3
وصرفية	wa-ṣarfīyah	3
وصفاء	wa-Ṣafāʼ	3
كرمل	Karmal	3
وصفاته	wa-ṣifātuhu	3
الحالات	al-ḥālāt	3
وصفة	wa-ṣifat	3
أنزل	anzala	3
كرشوش	Karshūsh	3
أنزار	Anzār	3
كرري	Kararī	3
أندلسي	Andalusī	3
كردولوجيا	Kurdūlūjiyā	3
أندرسون	Andirsūn	3
الحجاح	al-Hajjāj	3
industry	industry	3
وصدره	wa-ṣaddarahu	3
كسوة	Kiswat	3
institutions	institutions	3
كسواني	Kaswānī	3
وشهور	wa-shuhūr	3
كسلا	Kasalā	3
أنطونس	Anṭūnis	3
كسرى	Kisrá	3
وشوم	Wushūm	3
الحامل	al-ḥāmil	3
كسروان	Kasrawān	3
كستس	Kistas	3
وصابي	Waṣābī	3
الحاني	al-Ḥānī	3
أنطولوجي	anṭūlūjī	3
كزبري	Kuzbarī	3
الحباب	al-Ḥabbāb	3
كريمان	Karīmān	3
الحبازي	al-Ḥabbāzī	3
الحباشنة	al-Ḥabāshinah	3
كريسيليوس	Crecelius	3
كرير	Karīr	3
كريديه	Kuraydīyah	3
الحبردي	al-Ḥabardī	3
102	102	3
إباضية	Ibāḍīyat	3
لقمة	Luqmah	3
وتقاليدها	wa-taqālīduhā	3
لكبار	li-kibār	3
لكافة	li-kāffat	3
لكائن	li-kāʼin	3
لقيام	li-qiyām	3
لقياس	li-qiyās	3
إساءة	isāʼat	3
وتقليد	wa-taqlīd	3
الثالهة	al-thālithah	3
لقد	Laqad	3
إزاحة	Izāḥat	3
لقصص	li-qiṣaṣ	3
وتكنولوجيا	wa-tiknūlūjiyā	3
وتكوين	wa-Takwīn	3
لقرارات	li-qarārāt	3
إرواء	Irwāʼ	3
وتفكيك	wa-tafkīk	3
لكرييط	Lakriyyaṭ	3
وتفعيل	wa-tafʻīl	3
للأصفهاني	lil-Aṣfahānī	3
للأشياء	lil-ashyāʼ	3
للأسماء	lil-asmāʼ	3
للأسعد	lil-Asʻad	3
إستراتيجي	istirātījī	3
للأسر	lil-usar	3
إستدلالية	istidlālīyah	3
التويم	al-Tuwaym	3
للأراضي	lil-arāḍī	3
وتعزية	wa-taʻziyat	3
للأحكام	lil-aḥkām	3
التياسر	al-tayāsur	3
وتعلم	wa-taʻallum	3
للأجيال	lil-ajyāl	3
للأجور	lil-ujūr	3
وتعليلها	wa-taʻlīlihā	3
للأب	lil-Ab	3
وتفاصيل	wa-tafāṣīl	3
وتفاهم	wa-tafāhum	3
وتفسيرها	wa-tafsīrihā	3
وتفصيل	wa-tafṣīl	3
إستراحة	Istirāḥat	3
وتواريخهم	wa-tawārīkhihim	3
إرساء	irsāʼ	3
لغرور	Laghrūr	3
وتهذيبها	wa-tahdhībihā	3
وتوائم	wa-tawāʼim	3
لعميد	li-ʻamīd	3
وتوابعها	wa-tawābiʻihā	3
لعمليات	li-ʻamalīyāt	3
لعملاء	li-ʻumalāʼ	3
لعلى	li-ʻAlī	3
لعله	Laʻallahu	3
وتوجيهات	wa-tawjīhāt	3
لعل	Laʻall	3
لعقائد	li-ʻaqāʼid	3
إدورد	Idward	3
لعضد	li-ʻAḍud	3
لعصبة	li-ʻUṣbat	3
لـ	li	3
لفؤاد	li-Fuʼād	3
وتنسيقها	wa-tansīqihā	3
لقاعدة	li-qāʻidat	3
لقاح	Laqqāḥ	3
وتممه	wa-tammamahu	3
لفيف	lafīf	3
وتمويل	wa-tamwīl	3
الثبت	al-thabt	3
الثبوت	al-thubūt	3
لفكيكير	Lafkīkīr	3
لفكرة	li-fikrat	3
إرم	Iram	3
لفروجي	Lafrūjī	3
وتنبيه	wa-tanbīh	3
وتنبيهات	wa-tanbīhāt	3
لفخامة	li-Fakhāmat	3
وتنسيقه	wa-tansīqihi	3
لفتحي	li-Fatḥī	3
الثعلي	al-Thaʻlī	3
لفتا	Liftā	3
إرسيكا	Irsīkā	3
الثغور	al-thughūr	3
لفاضل	li-Fāḍil	3
لفاس	li-Fās	3
للأصولية	lil-uṣūlīyah	3
وخلف	wa-Khalaf	3
التنويري	al-tanwīrī	3
التنكابني	al-Tunukābunī	3
للتزيين	lil-tazyīn	3
وتحف	wa-tuḥaf	3
للترويج	lil-tarwīj	3
إسماعلي	Ismāʻilī	3
1946-1962	1946-1962	3
للتحولات	lil-taḥawwulāt	3
للتحول	lil-taḥawwul	3
التنويرية	al-tanwīrīyah	3
التهميش	al-Tahmīsh	3
وتحليلا	wa-taḥlīlan	3
إسلاميا	Islāmīyan	3
وتحليلها	wa-taḥlīluhā	3
وتحول	wa-taḥawwul	3
وتحولاته	wa-taḥawwulātih	3
وتحيين	wa-taḥyīn	3
للبنوك	lil-bunūk	3
1125	1125	3
وتخريجاً	wa-takhrījan	3
للبلديات	lil-Baladīyāt	3
للبلدان	lil-buldān	3
إسكندري	Iskandarī	3
التنقيبات	al-tanqībāt	3
وتحصيل	wa-taḥṣīl	3
التنازع	al-Tanāzuʻ	3
إشتراعي	ishtirāʻī	3
التناسب	al-Tanāsub	3
وتبصير	wa-tabṣīr	3
وتبويبه	wa-tabwībihi	3
للتوفيق	lil-Tawfīq	3
وتبييض	wa-tabyīḍ	3
إسيسكو	Isīskū	3
للتواصل	lil-tawāṣul	3
وتجدد	wa-tajaddud	3
وتجريم	wa-tajrīm	3
للتقافة	lil-Taqāfah	3
للتفكير	lil-tafkīr	3
إسمها	ismuhā	3
للتعويض	lil-taʻwīḍ	3
للتعرف	lil-taʻarruf	3
التنصيري	al-tanṣīrī	3
وتحدياتها	wa-taḥaddiyātuhā	3
للتطور	lil-taṭawwur	3
للبقاع	lil-Biqāʻ	3
للبرلمان	lil-barlamān	3
للأعلام	lil-aʻlām	3
للأنواع	lil-anwāʻ	3
1109	1109	3
إستعمال	istiʻmāl	3
1107	1107	3
التوضيحية	al-tawḍīḥīyah	3
وتصوف	wa-taṣawwuf	3
التوظف	al-tawaẓẓuf	3
للأوراق	lil-Awrāq	3
وتطبيقه	wa-taṭbīqihi	3
التوقيت	al-tawqīt	3
للأنشطة	lil-anshiṭah	3
للأنباء	lil-Anbāʼ	3
للأموات	lil-amwāt	3
للأمم	lil-Umam	3
وتطبيقها	wa-taṭbīqihā	3
إستشراف	istishrāf	3
للأفراد	lil-afrād	3
إستقرائية	istiqrāʼīyah	3
وتسويق	wa-taswīq	3
التوزري	al-Tawzarī	3
للإنتخابات	lil-Intikhābāt	3
التهويد	al-tahwīd	3
إسعاد	Isʻād	3
وتدريب	wa-Tadrīb	3
للاوقاف	lil-Awqāf	3
للانماء	lil-Inmāʼ	3
للانقاذ	lil-inqādh	3
للانتخابات	lil-intikhābāt	3
التواصلية	al-tawāṣulīyah	3
وتراثه	wa-turāthuhu	3
للاقطع	lil-Aqṭaʻ	3
وترتيبا	wa-tartīban	3
التوبي	al-Tūbī	3
للاصول	lil-uṣūl	3
للاصلاح	lil-Iṣlāḥ	3
وترجمان	wa-turjumān	3
للاستيراد	lil-Istīrād	3
التوجيهات	al-Tawjīhāt	3
للازمات	lil-azamāt	3
وتسجيل	wa-tasjīl	3
للإنقاذ	lil-Inqādh	3
لعز	li-ʻIzz	3
وثائقه	wathāʼiqahu	3
لعروسي	Laʻrūsī	3
الجدلي	al-jadalī	3
وحكاية	wa-ḥikāyat	3
لخادم	li-Khādim	3
لحيدر	li-Ḥaydar	3
لحية	Liḥyah	3
لحياني	Laḥyānī	3
الجدايل	al-Jadāyil	3
لحنا	li-Ḥannā	3
وحماس	wa-Ḥamās	3
وحمد	wa-Aḥmad	3
لحركات	li-ḥarakāt	3
وحمله	wa-ḥamlih	3
وحمير	wa-Ḥimyar	3
الجدول	al-jadwal	3
1954-1955	1954-1955	3
لحفظ	li-ḥifẓ	3
لحفص	li-Ḥafṣin	3
إبلاغ	Iblāgh	3
لحسينية	li-Ḥusaynīyah	3
الجذامي	al-Judhāmī	3
لحساب	li-ḥisāb	3
وحكايا	wa-ḥakāyā	3
الجثث	al-juthath	3
الجثة	al-juththah	3
لديوان	li-Dīwān	3
إثباتها	ithbātuhā	3
لدرس	li-dars	3
لدرر	li-durar	3
lil-Tawzīʻ	lil-Tawzīʻ	3
وحصر	wa-ḥaṣr	3
وحضارات	wa-ḥaḍārāt	3
وحضارته	wa-ḥaḍāratuh	3
الجبن	al-jubn	3
الجبهات	al-jabahāt	3
وحضارتهم	wa-ḥaḍāratihim	3
وحضرموت	wa-Ḥaḍramawt	3
إتصال	Ittiṣāl	3
105	105	3
لخصاضي	Likhṣāḍī	3
وحواشيه	wa-ḥawāshiyahu	3
وثانيها	wa-thānīhā	3
إبدال	Ibdāl	3
الجرشي	al-Jurashī	3
الجرقوئي	al-Jarqūʼī	3
لجار	li-Jār	3
إبراهم	Ibrāhim	3
لثمرة	li-thamarat	3
وخرجه	wa-kharrajahu	3
الجرمي	al-Jarmī	3
إبرام	Ibrām	3
وخريج	wa-khirrīj	3
لتونس	li-Tūnis	3
لتوثيق	li-Tawthīq	3
وخصومها	wa-khuṣūmuhā	3
103	103	3
الجريري	al-Jarīrī	3
لتكملة	li-takmilat	3
وخطورة	wa-khuṭūrat	3
الجزئية	al-juzʼīyah	3
الجزاءات	al-Jazāʼāt	3
وخطيب	wa-khaṭīb	3
وخلان	wa-Khullān	3
لتشجيع	li-tashjīʻ	3
learning	learning	3
لجبران	li-Jubrān	3
وخبر	wa-khabar	3
الجرداني	Jurdānī	3
لحدو	Laḥdū	3
لحامد	li-Ḥāmid	3
الجراحية	al-jirāḥīyah	3
وحياض	wa-ḥiyāḍ	3
وحيدا	waḥīdan	3
لجوانب	li-jawānib	3
وخاتمة	wa-khātimat	3
الجراعي	al-Jirāʻī	3
لجنوب	li-janūb	3
وخادم	wa-khādim	3
الجراكسة	al-Jarākisah	3
الجربا	al-Jarbā	3
لجمي	Lajmī	3
وخارجه	wa-khārijih	3
الجرجاوي	al-Jirjāwī	3
لجريدة	li-jarīdat	3
لجرجس	li-Jirjis	3
وحريات	wa-ḥurrīyāt	3
وحروف	wa-ḥurūf	3
لصياغة	li-ṣiyāghat	3
وجدله	wa-jadalih	3
لطايف	Laṭāyif	3
لطالبي	li-ṭālibī	3
وجذورها	wa-judhūrihā	3
الثياب	al-thiyāb	3
وجراح	wa-jirāḥ	3
وجريمة	wa-jarīmat	3
لضحايا	li-Ḍaḥāyā	3
لضبط	li-ḍabṭ	3
وجسر	wa-jisr	3
إخلاء	ikhlāʼ	3
الجاهلين	al-jāhilīn	3
لصور	li-ṣuwar	3
لصنعاء	li-Ṣanʻāʼ	3
الجابلي	al-Jābilī	3
لصندوق	li-Ṣundūq	3
لصدر	li-Ṣadr	3
لصدام	li-Ṣaddām	3
لصبحي	li-Ṣubḥī	3
لصاصمة	Laṣāṣimah	3
وجدار	wa-jidār	3
وجد	wajada	3
إدمان	idmān	3
وثبت	wa-thabat	3
109	109	3
وثقافتهم	wa-thaqāfatihim	3
وثلاثة	wa-thalāthat	3
الثمار	al-Thimār	3
الثمالي	al-Thumālī	3
الثمان	al-thamān	3
وثمار	wa-thimār	3
لعامة	li-ʻāmmat	3
الثمانينيات	al-thamānīnīyāt	3
الثمر	al-Thamar	3
وجاء	Wa-jāʼa	3
إدام	Idām	3
لطيفي	Laṭīfī	3
وجامع	wa-jāmiʻ	3
الثنائيات	al-Thunāʼīyāt	3
وجبل	wa-Jabal	3
إختيارات	Ikhtiyārāt	3
وجماعات	wa-jamāʻāt	3
لصاحب	li-Ṣāḥib	3
لسلوم	Laslūm	3
إحصاء	Iḥṣāʼ	3
وجودها	wujūdihā	3
لست	lastu	3
وجية	Wajīh	3
وجيزة	Wajīzah	3
لساويرس	li-Sāwīrus	3
لسائر	li-sāʼir	3
وجيل	wa-jīl	3
لزوميات	Luzūmīyāt	3
إحتمالات	iḥtimālāt	3
إحتفالات	iḥtifālāt	3
وحتمية	wa-ḥatmīyat	3
لرواح	Larwāḥ	3
الجاني	al-jānī	3
لرفع	li-rafʻ	3
لرسالة	li-risālat	3
لسراج	li-Sirāj	3
وجوانب	wa-jawānib	3
لشوؤن	li-Shuʼūn	3
لشهادة	li-shahādat	3
لشهادات	li-shahādāt	3
وجميع	wa-jamīʻ	3
الجاري	al-jārī	3
وجنوبي	wa-Janūbī	3
إختارها	ikhtārahā	3
108	108	3
لشعرائه	li-shuʻarāʼih	3
وجهاده	wa-jihādih	3
لشبكة	li-shabakat	3
وجهك	wajhak	3
لسيف	li-Sayf	3
لسيدي	li-sayyidī	3
وجهودها	wa-juhūduhā	3
وجهي	Wajhī	3
لسوريا	li-Sūriyā	3
لسور	li-suwar	3
لسنوات	li-sanawāt	3
اخراج	ikhrāj	3
اخراجه	ikhrājihi	3
الحزيمي	al-Ḥazīmī	3
والأتراك	wa-al-Atrāk	3
1828-1942	1828-1942	3
ميداء	Maydāʼ	3
والآلات	wa-al-ālāt	3
والآليات	wa-al-ālīyāt	3
والآن	wa-al-ān	3
الأخلاء	al-Akhillāʼ	3
الإنحلال	al-inḥilāl	3
والأبنية	wa-al-abniyah	3
ميال	Mayyāl	3
الأختام	al-akhtām	3
regulation	regulation	3
والأجزاء	wa-al-ajzāʼ	3
والأجور	wa-al-ujūr	3
الأخزمي	al-Akhzamī	3
والأحزان	wa-al-aḥzān	3
الأخري	al-Ukhrá	3
الإنسحاب	al-insiḥāb	3
والأحلام	wa-al-aḥlām	3
الأخر	al-ākhar	3
والأخير	wa-al-akhīr	3
الإنشائية	al-inshāʼīyah	3
والآل	wa-al-āl	3
والآخرون	wa-al-ākharūn	3
والآجلة	wa-al-ājilah	3
ميدياكوم	Mīdiyākūm	3
ميل	mīl	3
الإمتناع	al-imtināʻ	3
ميكلوش	Mīklūsh	3
textes	textes	3
الإمتيازات	al-imtiyāzāt	3
واقتصاديات	wa-Iqtiṣādīyāt	3
الإمدادية	al-Imdādīyah	3
than	than	3
الأخيلية	al-Akhyalīyah	3
الإنباء	al-Inbāʼ	3
relative	relative	3
ميزانية	mīzānīyat	3
الإنتاجية	al-intājīyah	3
الإنتحار	al-intiḥār	3
الأخوين	al-akhawayn	3
الأخوة	al-ukhwah	3
والآثاري	wa-al-Āthārī	3
الأخوات	al-akhawāt	3
ميران	Mīrān	3
والأداب	wa-al-Ādāb	3
مونودراما	mūnūdrāmā	3
الأحجار	al-aḥjār	3
موشي	Mawshī	3
الأحبة	al-aḥibbah	3
والأغاني	wa-al-aghānī	3
موشكي	Mūshikī	3
موشحات	Muwashshaḥāt	3
الإيداع	al-īdāʻ	3
والأغنية	wa-al-ughniyah	3
موسيقا	Mūsīqā	3
1831-1840	1831-1840	3
الأحادية	al-uḥādīyah	3
والأدوات	wa-al-adawāt	3
الأجهوري	al-Ujhūrī	3
والأكابر	wa-al-akābir	3
الإيغومانس	al-Īghūmānus	3
الأجنحة	al-ajniḥah	3
موزاني	Mawzānī	3
والألف	wa-al-alf	3
الأجناس	al-ajnās	3
موصل	Muwaṣṣil	3
موضع	mawḍiʻ	3
الأحرش	al-Aḥrash	3
موضوعه	mawḍūʻihi	3
الإنعاش	al-inʻāsh	3
الإنفاق	al-Infāq	3
موليير	Molière	3
والأراضي	wa-al-arāḍī	3
الإنقلابات	al-inqilābāt	3
والأردني	wa-al-Urdunī	3
الإنكار	al-inkār	3
مولاه	mawlāh	3
والأزجال	wa-al-azjāl	3
الأحناف	al-Aḥnāf	3
regime	regime	3
الأحمدى	al-Aḥmadī	3
third	third	3
الإنهاء	al-Inhāʼ	3
والأسلمة	wa-al-aslamah	3
الإنهيار	al-inhiyār	3
1830-1962	1830-1962	3
والأشربة	wa-al-ashribah	3
واقتباس	wa-iqtibās	3
نبز	Nabaz	3
نتعامل	nataʻāmalu	3
الإعتراضات	al-iʻtirāḍāt	3
واحداً	Wāḥidan	3
واخرى	wa-ukhrá	3
نبدأ	nabdaʼ	3
واخلاقهم	wa-akhlāqihim	3
واخلاقيات	wa-akhlāqīyāt	3
الإعلانية	al-Iʻlānīyah	3
نبالي	Nibālī	3
واخيه	wa-akhīhi	3
الإغاثة	al-ighāthah	3
نبات	Nabāt	3
واحتلال	wa-iḥtilāl	3
واجراءات	wa-ijrāʼāt	3
وابنه	wa-ibnihi	3
نجيدي	Nujaydī	3
نجى	Najī	3
واتجاهاتها	wa-ittijāhātuhā	3
نجوي	Najwá	3
الأرصفة	al-arṣifah	3
الأرصاد	al-arṣād	3
نجود	Najūd	3
الأرشاد	al-Irshād	3
نجفقلي	Najafqulī	3
الأرسلانية	al-Arslānīyah	3
نجات	Najāt	3
الأردية	al-Urdīyah	3
الأردوية	al-Urduwīyah	3
الإضراب	al-iḍrāb	3
وادب	wa-adab	3
نب	ibn	3
ميليا	Mīliyā	3
واعترافات	wa-iʻtirāfāt	3
الإكسرخوس	al-Iksarkhūs	3
الإكليل	al-iklīl	3
واشكاليات	wa-ishkālīyāt	3
واصدار	wa-iṣdār	3
الإلة	al-Ilah	3
ناخبي	Nākhibī	3
واضافات	wa-iḍāfāt	3
الأدعية	al-adʻiyah	3
واعادة	wa-iʻādat	3
الإغراق	al-ighrāq	3
نابل	Nābul	3
واعده	wa-aʻaddahu	3
researcher	researcher	3
واعظزاده	Vāʻiẓʹzādah	3
واعوام	wa-aʻwām	3
الأدبى	al-Adabī	3
وافاق	wa-āfāq	3
مين	mīn	3
ميليسوس	Mīlīsūs	3
الأدوار	al-adwār	3
واستقلال	wa-istiqlāl	3
الإغريقي	al-Ighrīqī	3
وادعية	wa-adʻiyat	3
الإفادة	al-Ifādah	3
نان	Nān	3
نامه	nāmah	3
الإفرنج	al-Ifranj	3
نامق	Nāmiq	3
الإفرنسي	al-Ifransī	3
وارث	Wārith	3
ناقوز	Nāqūz	3
وارديها	wāridīhā	3
الإفصاح	al-Ifṣāḥ	3
الإفقار	al-ifqār	3
واسباب	wa-asbāb	3
الإقبال	al-Iqbāl	3
واستخداماتها	wa-istikhdāmātuhā	3
ناعوري	Nāʻūrī	3
واستدلال	wa-istidlāl	3
واستراتيجي	wa-istirātījī	3
الأذكياء	al-adhkiyāʼ	3
الإقتصاديين	al-iqtiṣādīyīn	3
ناعم	Nāʻim	3
ناعبي	Nāʻibī	3
الأذرعي	al-Adhruʻī	3
الإيماني	al-īmānī	3
الإشاعة	al-Ishāʻah	3
منجور	Manjūr	3
الآحاد	al-āḥād	3
الاخرس	al-Akhras	3
والإنكليزية	wa-al-Inklīzīyah	3
والإيقاع	wa-al-īqāʻ	3
مندوبية	Mandūbīyah	3
مندلاوي	Mandalāwī	3
مندل	Mandal	3
مندائي	Mindāʼī	3
الآثاريين	al-Āthārīyīn	3
منجود	Manjūd	3
منتظرى	Muntaẓirī	3
الآثارية	al-āthārīyah	3
منجك	Manjak	3
منجرة	Elmandjra	3
والابدال	wa-al-ibdāl	3
منثورة	manthūrah	3
منتقى	muntaqá	3
الآبي	al-Ābī	3
والاثار	wa-al-āthār	3
والاثبات	wa-al-ithbāt	3
منزلاوي	Manzalāwī	3
منزلته	manzilatuhu	3
الاختلافات	al-ikhtilāfāt	3
والإنعكاسات	wa-al-inʻikāsāt	3
منطقتي	minṭaqatay	3
الآرامية	al-Ārāmīyah	3
منصوره	Manṣūrah	3
الآرامي	al-Ārāmī	3
الاحقاف	al-Aḥqāf	3
منصة	minaṣṣat	3
منشٱة	Munshaʼāt	3
الاحنف	al-Aḥnaf	3
منشروع	Manshrūʻ	3
والإنتشار	wa-al-intishār	3
منشآت	munshaʼāt	3
منسيون	mansīyūn	3
الاختراع	al-ikhtirāʻ	3
والإنجليزية	wa-al-Injlīzīyah	3
والإندماج	wa-al-indimāj	3
1361	1361	3
والإنسجام	wa-al-insijām	3
منسورات	Manshūrāt	3
منسوبة	mansūbah	3
والاثرية	wa-al-atharīyah	3
transition	transition	3
الاحرام	al-iḥrām	3
والادعاء	wa-al-Iddiʻāʼ	3
منازعاتها	Munāzaʻātihā	3
منادي	Munādī	3
الاربع	al-arbaʻ	3
مناجم	manājim	3
مناجرة	Manājirah	3
اكستر	Ikstir	3
منابر	manābir	3
والاجازات	wa-al-ijāzāt	3
الاربعينات	al-arbaʻīnāt	3
والاديب	wa-al-adīb	3
الارتباط	al-irtibāṭ	3
مميزات	mumayyizāt	3
والاذكار	wa-al-adhkār	3
مميز	Mumayyiz	3
ممون	Mamūn	3
والارتياب	wa-al-irtiyāb	3
والاردن	wa-al-Urdun	3
والاداري	wa-al-idārī	3
والاخلاقية	wa-al-akhlāqīyah	3
مناصير	Manāṣīr	3
والاجتماعى	wa-al-Ijtimāʻī	3
منتجب	Muntajab	3
منة	Minnat	3
منبجي	Manbijī	3
1358	1358	3
ال3	al-3	3
والاجراءات	wa-al-ijrāʼāt	3
والاجرائية	wa-al-ijrāʼīyah	3
مناهجهم	manāhijuhum	3
الادبيات	al-adabīyāt	3
الادبين	al-adabayn	3
والاجماع	wa-al-ijmāʻ	3
منامات	Manāmāt	3
الادريسية	al-Idrīsīyah	3
والاحداث	wa-al-aḥdāth	3
مناقبه	manāqibuh	3
والاحزاب	wa-al-aḥzāb	3
والاحسان	wa-al-Iḥsān	3
مناظر	Manāẓir	3
منطلق	munṭalaq	3
والإبتداء	wa-al-ibtidāʼ	3
موافق	muwāfiq	3
والأيمان	wa-al-īmān	3
والأيوبي	wa-al-Ayyūbī	3
مواطنة	muwāṭanah	3
الأبيه	al-abīh	3
والأيوبية	wa-al-Ayyūbīyah	3
الابشيهي	al-Ibshīhī	3
مواضيعها	mawāḍīʻihā	3
الابواب	al-abwāb	3
والإجراء	wa-al-ijrāʼ	3
والإتباع	wa-al-ittibāʻ	3
الاتابكي	al-Atābakī	3
الأبنوس	al-abanūs	3
موائد	Mawāʼid	3
الاتحاف	al-Itḥāf	3
مهنية	mihnīyah	3
مهماه	Mahmāh	3
الابدي	al-abadī	3
موافقة	muwāfaqah	3
والأولاد	wa-al-awlād	3
مواقفه	mawāqifuh	3
موراد	Mūrād	3
والأمريكان	wa-al-Amrīkān	3
الأجرومية	al-Ajrūmīyah	3
والأمويين	wa-al-Umawīyīn	3
موجهة	muwajjahah	3
1835-1950	1835-1950	3
والأناضول	wa-al-Anāḍūl	3
موجة	Mawjat	3
